ID;Circuito;Orig;Revisao;OrdemRep;Numero;Data;Obs;Reparacao
11;CI MIG Serie 6 DIGIT B;Linha produção;Rev4.0;;30181367;25-02-2019 09:22:55;Devolvido Electro-Portugal;Planeada
12;CI MIG Serie 6 Interface;Linha produção;Rev3.0;;29160203;25-02-2019 09:24:49;;Planeada
13;CI LTRONIC CONTROL;Linha produção;Rev3.0;;23160002;25-02-2019 09:25:26;;Planeada
14;CI MIG Serie 6 DIGIT;Linha produção;Rev4.0;;26160168;25-02-2019 09:25:54;Devolvido Blas;Planeada
15;CI LTRONIC CONTROL;Linha produção;Rev1.0;;36160015;25-02-2019 09:27:11;;Planeada
16;CI LTRONIC FRONT;Linha produção;Rev3.0;;18220622;25-02-2019 09:28:18;Devolvido WSD;Planeada
17;CI MIG Serie 6 Interface;Linha produção;Rev2.0;;07160356;25-02-2019 09:29:07;Devolvido Serecon;Planeada
18;CI MIG Serie 6 Interface;Linha produção;Rev3.0;;31160511;25-02-2019 09:29:57;Devolvido Blas;Planeada
19;CI MIG Serie 6 Interface;Linha produção;Rev4.0;;40170200;25-02-2019 09:30:37;;Planeada
20;CI Power MIG300SI;Linha produção;Rev3.0;;2318005600014;25-02-2019 09:31:07;;Planeada
21;CI MIG Serie 6 DIGIT;Linha produção;Rev4.0;;26160179;25-02-2019 09:31:47;;Planeada
22;CI MIG Serie 6 Interface;Linha produção;Rev2.0;;0000;25-02-2019 09:32:28;Devolvido Elfi;Planeada
23;CI MIG Serie 6 DIGIT;Linha produção;Rev4.0;;26160271;25-02-2019 09:34:11;Devolvido Serecon;Planeada
24;CI LTRONIC FRONT;Linha produção;Rev3.0;;29170062;25-02-2019 09:35:04;Devolvido Soldan-WSD;Planeada
25;CI MIG Serie 6 DIGIT;Linha produção;Rev4.0;;31160508;25-02-2019 09:35:45;;Planeada
27;CI SMD THI DIGIT;Linha produção;Rev1.0;;36160117;25-02-2019 09:38:50;Devolvido Sumasol;Planeada
28;CI MIG Serie 6 Interface;Linha produção;Rev2.0;;07160369;25-02-2019 09:43:41;Devolvido Orexad - JBDI;Planeada
29;CI LTRONIC FRONT;Linha produção;Rev3.0;;29170132;25-02-2019 09:44:28;;Planeada
30;CI LTRONIC FRONT;Linha produção;Rev3.0;;18220485;25-02-2019 09:45:01;;Planeada
31;CI LTRONIC FRONT;Linha produção;Rev3.0;;29170145;25-02-2019 09:45:26;;Planeada
32;CI LTRONIC FRONT;Linha produção;Rev3.0;;29170131;25-02-2019 09:45:54;;Planeada
33;CI LTRONIC FRONT;Linha produção;Rev3.0;;29170123;25-02-2019 09:46:15;;Planeada
34;CI LTRONIC FRONT;Linha produção;Rev3.0;;29170156;25-02-2019 09:46:35;Devolvido Welda;Planeada
35;CI LTRONIC FRONT;Linha produção;Rev3.0;;30180869;28-02-2019 16:38:20;Tensão trocada.;Planeada
36;CI MIG300SI CONTROL;Linha produção;Rev5.0;;2418005530011;06-03-2019 12:33:38;"Troca resistências R42 e R71.
Verficar se NTC's funcionam bem.";Planeada
37;CI MIG Serie 6 DIGIT B;Linha produção;Rev4.0;;22181087;08-04-2019 11:56:06;Regulador 12V avariado.;Planeada
42;CI INV ACDC FRONT;Linha produção;Rev1.0;;13180399;01/07/2019 18:53:40;"Devol. Hemasol, junto c/ c. i. B.067RM.312 (C.496RM.011-N ""W.496RM.312-2"") rep. de Weldsat inv. TP 402 AC/DC, n.º 18 11 136.

Finalmente el equipo tp ac-dc 400 lo que tenia averiado era el modulo de control el display estaba bien , te envio los 2 circuitos de vuelta .
El cliente seguira probando el equipo  hasta el miercoles y nos dice algo , pero ya marca el amperaje perfecto.";Planeada
43;CI INV TP CONTROL;Linha produção;Rev1.0;;19191036;17-10-2019 16:22:36;Avaria microcrontrolador.;Planeada
44;CI Power MIG300SI;Recolha externa;Rev3.0;;2318005600029;18-10-2019 08:32:14;"Foi trocada em cliente onde havia um problema com a deteção de fase. Entre fase e terra L1-T - 330V, L2-T - 330V, L3-T - 120V. Entre fases 400V.
Provavelmente não terá problemas, de qualquer maneira convém validar.";Planeada
45;CI LTRONIC FRONT;Linha produção;Rev3.0;;2719005671673;18-10-2019 14:02:56;Troca na alimentação ao circuito.;Planeada
46;CI MIG Serie 6 DIGIT B;Linha produção;Rev4.0;;30181359;23/10/2019 08:40:54;"Em funcionamento o circuito desligava-se e passado algum tempo e que voltava a ligar.
Não era falta de fase pois o ventilador continuava a funcionar.
Maquina com um ano de trabalho
Cliente Parsolda- NAVIPA";Planeada
47;CI Frontal MIG300SI;Linha produção;Rev2.0;;2318005560040;17-12-2019 09:12:30;"Alimentação trocada.
Pistas queimadas.";Planeada
48;CI LTRONIC FRONT;Linha produção;Rev3.0;;2719005671458;17-12-2019 16:56:22;?;Planeada
49;CI Power MIG300SI;Linha produção;Rev3.0;;2318005600029;17-12-2019 17:03:59;?;Planeada
50;CI INV TP CONTROL;Linha produção;Rev1.0;;19191036;17-12-2019 17:05:23;"À partida estará bom.
Testar.";Planeada
51;CI Inv Mig Control;Linha produção;Rev1.0;;37180037;17-12-2019 17:06:12;;Planeada
52;CI LTRONIC FRONT;Linha produção;Rev3.0;;30180939;18/12/2019 14:46:59;Ao ligar queima os fusíveis da banca de ensaios.;Planeada
53;CI MIG Serie 6 DIGIT B;Linha produção;Rev4.0;;22181176;18/12/2019 14:49:50;motor nao aciona;Planeada
54;CI LTRONIC FRONT;Linha produção;Rev3.0;;30181166;08/01/2020 09:20:01;falta componenteD18 pista danificada;Planeada
55;CI LTRONIC FRONT;Linha produção;Rev3.0;;16220686;08/01/2020 09:26:03;IC3 queimado,SW5 queimado;Planeada
56;CI LTRONIC FRONT;Linha produção;Rev3.0;;18220689;08/01/2020 09:31:31;Envernizado ?;Planeada
57;CI LTRONIC FRONT;Linha produção;Rev3.0;;18220585;08/01/2020 09:37:11;Envernizada ?;Planeada
58;CI LTRONIC FRONT;Linha produção;Rev3.0;;22150115;08/01/2020 09:39:14;Envernizada?;Planeada
59;CI LTRONIC FRONT;Linha produção;Rev3.0;;18220479;08/01/2020 09:41:35;Envernizada?IC1 parece queimado;Planeada
60;CI LTRONIC FRONT;Linha produção;Rev3.0;;30180785;08/01/2020 09:44:20;Envernizada ? alguns componentes  queimados pistas partidas;Planeada
61;CI LTRONIC FRONT;Linha produção;Rev3.0;;29170148;08/01/2020 09:47:54;Envernizada?  com componentes queimados;Planeada
62;CI LTRONIC FRONT;Linha produção;Rev3.0;;18220600;08/01/2020 09:50:53;Envernizada pistas partidas e queimadas;Planeada
63;CI LTRONIC FRONT;Linha produção;Rev3.0;;18220518;08/01/2020 09:53:32;Envernizada ?;Planeada
64;CI LTRONIC FRONT;Linha produção;Rev3.0;;2118004290425;08/01/2020 09:55:38;Componentes queimados.;Planeada
