ID;Cliente
1;
3;Castolin
4;Maquet Soudage
5;Portinter
6;Firep
7;Bricofel
8;Morais & Câmara, lda
9;Final
10;Terotecnica,lda
11;Almeidas Amaral
12;Gasidouro
13;Coprial
14;EI2B Salr
15;Rexoldas
16;Castro & Alves, Lda
17;ENICLAY
18;Hemasol
19;Maurício & Cia, Lda
20;Expressomáquinas, Lda
21;Parsolda
22;La Soudure Sérésienne, SPRL
23;Motrinde
24;Sovende
25;Nelson Gaspar Moreira
26;Electro Portugal, lda
27;Baralhas
28;Ouest Soudure
29;Reclangol
30;Gomes & Branco
31;Imenaset
32;Blas - Represent. soldauras, S.L.
33;Bovisil
34;Avesteel
35;AG Gases Y Consumibles
36;Suministros
37;Serimm
38;Praxair Espanha
39;Ofinu
40;Coroferma
41;Pedro Brenha
42;Metalsoc
43;Sumasol
44;Fixacom
45;Elie Service - Soudage
46;Mecanitor
47;Paramáquinas
48;Valinox
49;Fozmaquinas
50;Anguloperfil
51;Electroantuã
52;Vieira dos Santos
53;Praxair Portugal
54;Oxicentro
55;Orexad
56;Orexad JBDI
57;Andias & Marques
58;Benemáquinas
59;Setmáquinas-Equip.Industriais
60;Indotool-Comercio de Ferram.e Acessórios
61;Carcei
62;Metalusa SA
63;Nippon Gases Espanha
64;Bordas SARL
65;Ruba, S.L.
66;Macafer
67;Soldasur,S.A.
68;Martial SAS
69;Maqser
70;Sarifer
71;Castromac
72;Acemil
73;J.A.Quintas
74;Avinox
75;A.Gabriel
76;Central Serralharia
77;Oliver SAS
78;FASTSTEEL
79;ECEP,Lda
80;Aguinox
81;Albindustria,lda
82;Mecwide,S.A
83;J.L.Neves
84;Soparafuso
85;Acail-Ind. Com. Ferro e Aços
86;Vimodal-Soc. Aces.Industriais
87;YTX-YACHTINOX
88;Futurvanguarda
89;Castro & Alves
90;Cobos Pavon
91;JCA Fernandes
92;Dinis Reis & Silva
93;Rolmáquinas
94;Mafersinde
95;Paljor
96;Nelson José Tomás Costa
97;Bobisil
98;Acess, S.L
99;Nippon Gases Espanha, S.L.U
100;Ferreira & Almeida, Lda
101;Bodas SARL
102;Coprial-Com.Peç.Rol.p/Ind.Automóvel
103;Mauricio & Cia,Lda
104;RepMan Soldaduras, SL
105;Pellets Power2
106;Serafim M. Moreira Filhos
107;Joaquim Santos & Isidro
108;Henrique Vieira& Filhos
109;Termologia- Equipamentos, e Serviços
110;Dimacer- Com. Equipam. Industriais
111;Coreferma-Com. Rol.
112;CLEVERMAN-ENGENHARIA E MANUTENÇÃO
113;Trimáquinas- Acess. Industriais,Lda
114;Equipaint, AS.T. Lda
115;Bsaben-Fábrica de Reboques
116;T.Cunha
117;Meivcore
118;Technosoud
119;Turbo-nor
120;Motofil
121;Lusavouga
122;La Nardi,Lda
123;Cosvalinox
124;Airtec Qatar
125;WSD- Distribuidor, S.L
126;Cinfer
127;100% INOX
128;Arco Submerso
129;Elko
130;DPH Soudage
131;Galmo
132;Approdis
133;Ventil
134;A.Machado,lda
135;Fimel - Indústria Metal.Electricidade, Lda
136;Jimafer
137;Irmãos Rocha, Lda
138;Ifec, Lda
139;Fisola
140;J.M. & Gonçalves, Lda
141;Fecocivil - Ferram. para Construção, SA
142;Pegada Dinâmica
143;Servodrive, unipessoal lda
144;ASMI II Offshore Industries, S.A.
145;Pinto, Almeida & Irmão, Lda
146;Euroed II - Distribuição, Lda
147;Juan José Zapata Valverde,SL/Sumasol
148;Ferrai
149;Abrassoud
150;Vanotools
151;RS BEFI
152;Silva e Bernardo
153;SLM-Soudure location Materiel
154;juan José Zapata Valverde,SL/
155;Cofer
156;Comptoir Auto Paris Rennes
157;FPAI
158;prilux-com
159;covitool
160;Sociedade Portuguesa Cavan,SA
161;Tetatrês
162;Fersilva, Lda
163;SIRL - Simões & Rodrigues, SA
164;MP Welding, sa
165;Afimadeira. Lda
166;ADS, Assistance distribution Soudage
167;Nippon Gases Portugal
168;cofe
169;gome
170;António Jacinto Gonçalves de Carvalho
171;Ouest Soudure
172;Prefabe, S.A.
173;ferr
174;Ferlin
175;José Gonçalves Cerqueira (Navel),lda
176;Mafirol
177;dDropereira
178;Algarmetal.lda
179;Dropereira
180;Y2Y
181;Pecol Automotive, S.A
182;Somengil
183;Syphax
184;A.Dias
185;EN Soudage SAS
186;Ferneto - Máq. e Art. p/Ind. Alim, S.A.
187;Lastek Belgium n.v
188;ferneto - Máq. e Art. p/
189;
190;Antonio Filipe Neto, lda
191;José Ribeiro & Cruz, Lda
192;Nicrodur
193;Coprial-Com.Peç.Rol.p/
194;20221270
195;Timsteel
196;Ecocalorem, Lda
197;Polivale
198;JMS Ind. Mobiliário Hospitalar, SA
199;gas
200;Afli
201;Nazcoil
202;Voltline
203;Ferralves
204;Sintonia Perfeita
205;Amaral e Marques
206;Algoinox 24
207;Qualiaço
208;Tecsisel
209;Dagoform
210;X-Inox, lda
211;SERECON97, SL
212;RST
213;Tecxcel
214;Urmi - Unidade de Rep. de Máq. Indust. SA
215;Wurth-Portugal
216;Nautibotelho
217;JUNTASA
218;Correta Metal, Lda
219;Pereira e Gomes
220;Hightech Welding (Soldagas)
221;Tetemboa, Lda
222;Ouplan
223;João R. Matos.SA
224;Mov Soluções
225;Foursteel
226;Tecni-repara
227;Particular
228;Bru y Rubio
229;Hermínio Marques, Lda
230;Mecfort,Lda
231;Angelo, Alves & Sobral, Lda
232;LPV
233;Induporta, Lda
234;Elfi Group International S.R.I.
235;Socimavis
236;Teca Escadas
237;Hill Suministros
238;C.D.S
239;Toolpath
240;Danox Welding
241;Cipro
242;Qucann
243;Ellie Service
244;Irbal, S.A.
245;Sol. Ind. Soldadura 2008, S.l
246;Etermar
247;Rios Hermanos, SA
248;Valmetal
249;Metal System, SL
250;Somaquifer
251;Anadifer
252;Anibal Loureiro Unipessoal,Lda
253;parsold
254;fecocivil - Ferram. para Construção, SA
255;CS Wind Portugal, S.A.
256;Fusion Point, Lda
257;PTM Iberica
258;Prozinco
259;IGTEC
260;Netrifendas
261;Ametais
262;Tot-Garais
263;Luso Dominicana Trading SRL
264;230755
265;acem
266;Hardlevel
267;Versatil Steel, Lda
268;Tymoteo
269;Paulifer
270;Eguzki Welding, S.L.
271;final
