ID;InvElectrex
1;
2;DC 163
3;DC 163 VRD
5;DC 203
6;DC 203 VRD
7;DC 223
8;DC 253
9;DC 323
10;DC 403 CELL
11;DC 503 CELL
12;TP 163
13;TP 203
14;TP 223
15;TP 253
16;TP 323
17;TP 403
18;TP 503
19;ACDC 203
20;ACDC 323
21;ACDC 403
22;ACDC 503
23;MIG BASIC 303 C
27;MIG BASIC 403 C
28;MIG BASIC 503 C
29;MIG BASIC 303 CW
30;MIG BASIC 403 CW
31;MIG BASIC 503 CW
32;MIG BASIC 303 M
33;MIG BASIC 403 M
34;MIG BASIC 503 M
35;MIG BASIC 303 WM
36;MIG BASIC 403 WM
37;MIG BASIC 503 WM
38;MULTI SYNERGIC 303 C
39;MULTI SYNERGIC 403 C
40;MULTI SYNERGIC 503 C
41;MULTI SYNERGIC 303 CW
42;MULTI SYNERGIC 403 CW
43;MULTI SYNERGIC 503 CW
44;MULTI SYNERGIC 303 M
45;MULTI SYNERGIC 403 M
46;MULTI SYNERGIC 503 M
47;MULTI SYNERGIC 303 WM
49;MULTI SYNERGIC 403 WM
50;MULTI SYNERGIC 503 WM
51;MULTI PULSE 303 C
52;MULTI PULSE 403 C
53;MULTI PULSE 503 C
54;MULTI PULSE 303 CW
55;MULTI PULSE 403 CW
56;MULTI PULSE 503 CW
57;MULTI PULSE 303 M
58;MULTI PULSE 403 M
59;MULTI PULSE 503 M
60;MULTI PULSE 303 WM
61;MULTI PULSE 403 WM
62;MULTI PULSE 503 WM
